"KTNAME","KTN_SYMB"
"Zürich","ZH"
"Bern / Berne","BE"
"Luzern","LU"
"Uri","UR"
"Schwyz","SZ"
"Obwalden","OW"
"Nidwalden","NW"
"Glarus","GL"
"Zug","ZG"
"Fribourg / Freiburg","FR"
"Solothurn","SO"
"Basel-Stadt","BS"
"Basel-Landschaft","BL"
"Schaffhausen","SH"
"Appenzell Ausserrhoden","AR"
"Appenzell Innerrhoden","AI"
"St. Gallen","SG"
"Graubünden / Grigioni / Grischun","GR"
"Aargau","AG"
"Thurgau","TG"
"Ticino","TI"
"Vaud","VD"
"Valais / Wallis","VS"
"Neuchâtel","NE"
"Genève","GE"
"Jura","JU"
